Country/Region,pop2020,area,Density,GrowthRate,WorldPercentage,rank,pop2019,pop2050,pop2030,pop2015,pop2010,pop2000,pop1990,pop1980,pop1970
Uganda,45741.007,241550,189.3645,1.0332,0.0059,31,44269.594,89446.904,59437.928,38225.453,32428.167,23650.172,17354.392,12442.334,9405.6
Ukraine,43733.762,603500,72.4669,0.9941,0.0056,35,43993.638,35219.042,40882.329,44921.639,45792.09,48838.065,51463.105,49965.874,47088.857
United Arab Emirates,9890.402,83600,118.3062,1.0123,0.0013,93,9770.529,10425.287,10661.076,9262.9,8549.988,3134.062,1828.432,1019.509,234.514
United Kingdom,67886.011,242900,279.4813,1.0053,0.0087,21,67530.172,74081.981,70485.49,65860.146,63459.808,58923.309,57134.391,56209.171,55573.453
Uruguay,3473.73,181034,19.1883,1.0035,0.0004,134,3461.734,3639.109,3569.471,3412.009,3359.275,3319.736,3109.601,2915.389,2809.793
US,331002.651,9372610,35.316,1.0059,0.0425,3,329064.917,379419.102,349641.876,320878.31,309011.475,281710.909,252120.309,229476.354,209513.341
Uzbekistan,33469.203,447400,74.8082,1.0148,0.0043,42,32981.716,42942.485,37418.456,30929.557,28515.909,24769.955,20398.348,15898.757,12080.317
Venezuela,28435.94,916445,31.0285,0.9972,0.0036,50,28515.829,37023.115,33626.469,30081.829,28439.94,24192.446,19632.665,15182.611,11396.393
Vietnam,97338.579,331212,293.886,1.0091,0.0125,15,96462.106,109605.011,104163.519,92677.076,87967.651,79910.412,67988.862,54281.846,43404.793
West Bank and Gaza,5101.414,6220,820.163,1.0241,0.0007,121,4981.42,8815.774,6341.728,4529.166,4055.631,3224.003,2101.446,1510.713,1126.629
Western Sahara,597.339,266000,2.2456,1.0255,0.0001,170,582.463,984.023,737.345,526.216,480.274,314.118,217.258,150.877,76.874
Yemen,29825.964,527968,56.492,1.0228,0.0038,48,29161.922,48080.021,36406.888,26497.889,23154.855,17409.072,11709.993,7941.898,6193.384
Zambia,18383.955,752612,24.4269,1.0293,0.0024,65,17861.03,39120.917,24325.505,15879.361,13605.984,10415.944,8036.845,5851.825,4179.067
Zimbabwe,14862.924,390757,38.0362,1.0148,0.0019,74,14645.468,23947.923,17596.447,13814.629,12697.723,11881.477,10432.421,7408.624,5289.303
